Country,2003,2004,2004_2,2005,2005_2,2006,2007,2008,2008_2,2009,2010,2010_2,2011,2012,2012_2,2012_3,2013,2013_2,2014,2014_2,2015,2015_2,2015_3,2015_4,2015_5,2015_6,2016,2017,2017_2,2018,2018_2,2019,2019_2,2020,2020_2,2021,2021_2,2022,2022_2
AT,,,,"33,7",,,"31,00","30,6",,,,,,,,,"29,00",,,,,,,,,,"30,70","31,60",,,,"37,70",,"39,80",,"40,60","40,60",,
BE,"34,20",,,,,,"37,30","35,90","35,90","38,90","38,90",,,,,,,,"40,30",,,,,,,,,,,"40,50",,"39,50",,"42,40",,,,,
BG,,,,"28,00",,,,,,"21,80",,,,,,,"22,90","22,90","24,80","24,80",,,,,,,,"19,20","19,20",,,,,,,"27,10","27,10","22,50",
CY,,"10,90",,"14,50","14,50",,,,,"16,10","12,50","12,50",,,,,"10,70","10,70",,,"12,50",,,,,,"12,50",,,"17,90",,"18,20",,"20,00",,"22,20",,"14,30",
CZ,,,,"14,60",,"13,30",,,,"17,40","17,90",,,,,,"20,30",,"18,90",,,,,,,,,"19,90",,"21,40",,,,,,"20,40",,,
DE,,,,"30,80",,,,,,"30,60",,,,,,,"33,20",,,,,,,,,,,"37,20",,,,,,,,"31,60",,,
DK,,,,"37,70",,,"37,30",,,"37,20",,,"37,90",,,,,,,,"38,00",,,,,,,,,,,"37,40",,,,,,"41,90",
EE,"17,00",,,"20,00",,,"18,80",,,,,,"23,80",,,,,,"16,80",,"19,80",,,,,,"26,70",,,,,"27,70",,,,"25,70",,"27,70",
GR,,"12,00",,,,,"14,40",,,"15,90",,,"19,00","19,00","19,00",,,,,,"23,00","23,00","23,00",,,,,,,,,"18,30",,,,,,,
ES,,"33,20",,,,,,"31,70",,,,,"35,00",,,,,,,,,,,,,,"39,30",,,"39,10",,,,"41,80",,,,,
FI,"37,20",,,,,,"42,00",,,,"24,00",,"24,10",,,,,,"27,40",,"28,00",,,,,,,,,,,"31,00","31,00",,,,,,
FR,,,,,,,"15,00",,,,,,,"21,00",,,,,,,,,,,,,,"26,50",,,,,,,,,,"39,10",
HR,,,,,,,,,,,"23,50",,,,,,,,,,"25,80",,,,,,"15,20",,,,,,,"18,50",,,,,
HU,,"8,80",,,,"9,10",,,,"10,70","11,20",,,,,,,,"9,40",,,,,,,,,,,"10,10",,,,,,,,"13,10",
IE,,"13,40",,,,,,"15,50",,,,,"15,50",,,,,,,,,,,,,,,,,"24,30",,,,,,,,,
IS,"35,50","31,70",,,,"32,30","36,50",,,"36,50",,,,,,,"38,10",,,,,,,,,,"46,00","47,60","47,60",,,,,,,"39,70",,,
IT,,,,"10,90",,"10,40",,"16,20",,,,,"20,00",,,,"27,90",,"30,50",,,,,,,,"30,20",,,"30,50",,"35,20",,,,"35,60",,"36,00",
LI,,,,"12,50",,,,,,"24,00",,,,,,,"20,00",,,,,,,,,,,"12,00",,,,,,,,"28,00",,,
LT,,"22,10",,,,"21,40",,"23,40",,,,,,"19,30",,,,,,,,,,,,,"24,10",,,,,,,"23,30",,,,,
LU,,"20,30",,,,,"25,40",,,"25,00",,,,,,,"21,70",,,,,,,,,,,,,"26,70",,,,,,,,,
LV,"20,20",,,,,,"19,00",,,,,,"20,00",,,,,,,,"17,00",,,,,,,,,,,"30,00",,,,,,,
MK,,,,,,,,"30,00",,,,,"34,20",,,,,,"34,10",,,,,,,,,"30,80","30,80",,,,,"40,00",,,,,
MT,,"9,40",,,,,,"9,40",,,,,,,,,"11,70",,,,,,,,,,,"12,70",,,,,,,,,,"14,90",
NL,"36,30",,,,,"33,60","34,70",,,,"39,30",,,"39,10",,,,,,,,,,,,,,"37,30",,,,,,"34,70",,,,,
NO,,,,"36,20",,,,,,"35,50",,,,,,,"39,60",,,,,,,,,,,"39,60",,,,,,,,"40,80",,,
PL,,"21,50",,"22,50",,"20,50","18,50",,,,,,"18,10",,,,,,"22,30",,"22,70",,,,,,,"25,60",,,,"26,40",,,,,,,
PT,,"19,70",,"20,00",,,,,,"30,00",,,"30,40",,,,,,,,"31,30",,,,,,,,,,,"36,50",,,,,,"40,00",
RO,,"10,40","10,40",,,,,"9,40",,,,,,"9,20","9,20","9,20",,,,,"12,10","12,10","12,10","12,10","12,10","12,10","12,10","18,50",,"19,30","19,30","19,60",,"19,80","19,80","20,30",,,
RS,,,,,,,,"20,80",,,,,,"22,40",,,,,"34,00",,,,,,,,,"34,40","34,40",,,,,,,,,,
SE,,,,,,"48,30",,,,,"46,70",,,,,,,,"42,70",,,,,,,,,,,,,"46,40",,,,"47,60",,"46,40",
SI,,"11,70",,,,,,"9,40",,,,,,"25,40",,,"27,10",,"25,40",,,,,,,,,,,"27,90",,,,"22,10",,,,"23,10",
SK,,,,,,"16,10",,,,,"18,00",,,"15,80",,,,,,,,,,,,,"18,90",,,"21,30",,,,"20,90",,"22,70",,,
TR,,,,,,,"4,40",,,,,,,,,,,,"14,40",,,,,,,,,,,"13,90",,,,,,,,,
GB,,,,"17,90",,,"19,30",,,,"19,70",,,,,,,,,,"23,50",,,,,,"27,40",,,,,"29,00",,,,,,"31,40","31,40"